Image ID,Image name,Annotation status,Points,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,Unc,MAA,MAEC,MAEF,MAEN,MAF,MAG,MALA,MALCB,MAS
3349096,AMP50641.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,58.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,37.000
3349095,AMP50642.jpg,Unconfirmed,100,0.000,0.000,0.000,4.000,1.000,0.000,0.000,0.000,40.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,53.000
3349094,AMP50643.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,32.000
3349093,AMP50644.jpg,Unconfirmed,100,0.000,0.000,0.000,4.000,8.000,0.000,0.000,0.000,37.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,48.000
3349092,AMP50645.jpg,Unconfirmed,100,0.000,0.000,0.000,3.000,1.000,0.000,0.000,0.000,36.000,0.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,52.000
3349091,AMP50646.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,26.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,73.000
3349090,AMP50647.jpg,Unconfirmed,100,0.000,0.000,0.000,8.000,5.000,0.000,0.000,0.000,42.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,39.000
3349089,AMP50648.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,59.000
3349088,AMP50649.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,60.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,38.000
3349087,AMP50650.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,42.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,55.000
3349086,AMP50651.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,91.000
3349085,AMP50652.jpg,Unconfirmed,100,0.000,0.000,0.000,3.000,1.000,0.000,0.000,0.000,65.000,0.000,0.000,0.000,0.000,17.000,0.000,0.000,0.000,0.000,14.000
3349084,AMP50653.jpg,Unconfirmed,100,0.000,0.000,0.000,5.000,3.000,0.000,0.000,0.000,63.000,0.000,0.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,20.000
3349083,AMP50654.jpg,Unconfirmed,100,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,70.000,0.000,0.000,0.000,0.000,19.000,0.000,0.000,0.000,0.000,9.000
3349082,AMP50655.jpg,Unconfirmed,100,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,55.000,0.000,0.000,0.000,0.000,35.000,0.000,0.000,0.000,0.000,7.000
3349081,AMP50656.jpg,Unconfirmed,100,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,70.000,0.000,0.000,0.000,0.000,22.000,0.000,0.000,0.000,0.000,6.000
