Image ID,Image name,Annotation status,Points,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,Unc,MAA,MAEC,MAEF,MAEN,MAF,MAG,MALA,MALCB,MAS
3359434,AMP70145.jpg,Unconfirmed,100,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,61.000,0.000,0.000,0.000,0.000,4.000,3.000,0.000,0.000,0.000,28.000
3359433,AMP70146.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.000,0.000,0.000,0.000,0.000,6.000,54.000,0.000,0.000,0.000,28.000
3359432,AMP70147.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.000,0.000,0.000,0.000,0.000,4.000,29.000,0.000,0.000,0.000,43.000
3359431,AMP70148.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.000,0.000,0.000,0.000,0.000,1.000,40.000,0.000,0.000,0.000,36.000
3359430,AMP70149.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,48.000,0.000,0.000,0.000,0.000,4.000,29.000,0.000,0.000,0.000,19.000
3359429,AMP70150.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,14.000,0.000,0.000,0.000,0.000,16.000,44.000,0.000,0.000,0.000,18.000
3359428,AMP70151.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,7.000,0.000,0.000,0.000,11.000,0.000,0.000,0.000,0.000,28.000,48.000,0.000,0.000,0.000,5.000
3359427,AMP70152.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,23.000,0.000,0.000,0.000,21.000,0.000,0.000,0.000,0.000,23.000,11.000,0.000,0.000,0.000,22.000
3359426,AMP70153.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,26.000,0.000,0.000,0.000,0.000,12.000,34.000,0.000,0.000,0.000,21.000
3359425,AMP70154.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,41.000,0.000,1.000,0.000,0.000,2.000,37.000,0.000,0.000,0.000,19.000
3359424,AMP70155.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,21.000,0.000,0.000,0.000,29.000,0.000,0.000,0.000,0.000,5.000,44.000,0.000,0.000,0.000,1.000
3359423,AMP70156.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,0.000,10.000,77.000,0.000,0.000,0.000,3.000
3359422,AMP70158.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,11.000,0.000,0.000,0.000,21.000,0.000,0.000,0.000,0.000,23.000,35.000,0.000,0.000,0.000,9.000
3359421,AMP70159.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,37.000,0.000,0.000,0.000,0.000,4.000,47.000,0.000,0.000,0.000,11.000
3359420,AMP70160.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,2.000,84.000,0.000,0.000,0.000,10.000
3359419,AMP70161.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,0.000,64.000,0.000,0.000,0.000,18.000
3359418,AMP70162.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.000,0.000,0.000,0.000,0.000,0.000,45.000,0.000,0.000,0.000,31.000
3359417,AMP70163.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,6.000,67.000,0.000,0.000,0.000,6.000
3359416,AMP70164.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,0.000,0.000,0.000,0.000,18.000,66.000,0.000,0.000,0.000,3.000
3359415,AMP70165.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,11.000,0.000,0.000,0.000,0.000,4.000,51.000,0.000,0.000,0.000,32.000
3359414,AMP70166.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,45.000,0.000,0.000,0.000,0.000,45.000,7.000,0.000,0.000,0.000,2.000
3359413,AMP70167.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,59.000,0.000,0.000,0.000,0.000,14.000,27.000,0.000,0.000,0.000,0.000
3359412,AMP70168.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,36.000,0.000,0.000,0.000,0.000,44.000,17.000,0.000,0.000,0.000,3.000
3359411,AMP70169.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,41.000,0.000,0.000,0.000,0.000,0.000,37.000,0.000,0.000,0.000,22.000
3359410,AMP70170.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,11.000,0.000,0.000,0.000,0.000,1.000,71.000,0.000,0.000,0.000,16.000
3359409,AMP70171.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,51.000,0.000,0.000,0.000,0.000,1.000,48.000,0.000,0.000,0.000,0.000
3359408,AMP70172.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,1.000,89.000,0.000,0.000,0.000,7.000
3359407,AMP70174.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,16.000,0.000,0.000,0.000,0.000,9.000,67.000,0.000,0.000,0.000,7.000
3359406,AMP70175.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,26.000,0.000,0.000,0.000,0.000,15.000,56.000,0.000,0.000,0.000,3.000
