yDay,SST.mean,SST.median,SST.sd,SST.q5,SST.q10,SST.q25,SST.q75,SST.q90,SST.q95,SST.min,SST.max
1,12.3359,12.596499999999999,0.733206420836285,11.135349999999999,11.5597,11.99175,12.761999999999999,12.946,13.053999999999998,10.711,13.161999999999999
2,12.3622,12.555,0.6572215591243016,11.3046,11.641199999999998,12.0705,12.70975,12.8657,13.08035,10.968,13.295
3,12.433,12.5805,0.719674154662295,11.33495,11.555900000000001,12.02675,12.87325,13.2114,13.3347,11.113999999999999,13.458
4,12.491,12.393,0.723465886472119,11.529150000000001,11.7933,12.13525,12.788,13.552000000000001,13.588000000000001,11.265,13.624
5,12.6296,12.52,0.6366588481195316,11.8321,11.9392,12.29,12.88825,13.6057,13.644849999999998,11.725,13.684
6,12.639199999999999,12.579,0.6176364986336577,11.902149999999999,12.0313,12.24025,13.0045,13.488399999999999,13.589199999999998,11.773,13.69
7,12.76,12.635,0.6336730667746232,12.017599999999998,12.156199999999998,12.3575,13.12775,13.557300000000001,13.74765,11.879,13.938
8,12.8723,12.547,0.6034383057851802,12.39245,12.4109,12.47875,13.322750000000001,13.650799999999998,13.834399999999999,12.374,14.017999999999999
9,12.9058,12.756499999999999,0.5409704859478626,12.3289,12.4468,12.5755,13.122499999999999,13.6091,13.803049999999999,12.211,13.997
10,12.8189,12.768,0.45281451929999883,12.33455,12.415099999999999,12.56875,12.92975,13.155999999999999,13.524999999999999,12.254,13.894
11,12.809,12.8455,0.4495113396171939,12.1565,12.332,12.6305,12.97825,13.2594,13.441199999999998,11.981,13.623
12,12.7801,12.8135,0.7002095638687986,11.6654,12.0398,12.50075,13.341999999999999,13.400899999999998,13.49495,11.291,13.589
13,12.8298,13.1455,0.8590890265598526,11.55055,11.793099999999999,12.19125,13.467749999999999,13.689599999999999,13.7283,11.308,13.767
14,12.9445,13.247499999999999,0.9726494458151123,11.4739,11.6098,12.217749999999999,13.747,13.804499999999999,13.937249999999999,11.338,14.07
15,13.0229,13.2225,0.8385953136048399,11.7502,11.9554,12.5155,13.631,13.8316,13.9648,11.545,14.097999999999999
16,13.0698,13.1715,0.7905172427664756,11.8599,12.1128,12.634500000000001,13.648249999999999,13.8768,13.988399999999999,11.607,14.1
17,13.0707,13.161,0.7139746416287408,12.12935,12.1937,12.498249999999999,13.738999999999999,13.8719,13.90295,12.065,13.934
18,13.2012,13.1715,0.5968429534736177,12.439,12.475000000000001,12.724999999999998,13.794,13.900299999999998,13.90615,12.403,13.911999999999999
19,13.3314,13.2725,0.41497555483559645,12.80375,12.900500000000001,13.00925,13.689250000000001,13.7494,13.8592,12.706999999999999,13.969
20,13.3502,13.366499999999998,0.29511157965156903,12.9177,13.0374,13.19875,13.543,13.7054,13.7162,12.798,13.727
21,13.357899999999999,13.407499999999999,0.3267096740396755,12.8296,12.9502,13.251249999999999,13.536,13.6811,13.74005,12.709,13.799
22,13.3378,13.4285,0.3967265501016484,12.674199999999999,12.888399999999999,13.19275,13.587,13.7062,13.729600000000001,12.459999999999999,13.753
23,13.3077,13.3575,0.385878233528546,12.7838,12.9026,13.022,13.65125,13.7081,13.73105,12.665,13.754
24,13.318,13.298,0.34058805355182714,12.826899999999998,13.088799999999999,13.189499999999999,13.555,13.695,13.7175,12.565,13.74
25,13.4003,13.506499999999999,0.45377283842126237,12.72745,12.8989,13.155750000000001,13.60725,13.8539,13.99295,12.556,14.132
26,13.3316,13.477,0.4985639822976027,12.5583,12.6096,13.068499999999998,13.635,13.876000000000001,13.921,12.507,13.966
27,13.2614,13.402000000000001,0.48946278941531607,12.5435,12.602,12.885250000000001,13.53375,13.729,13.8505,12.485,13.972
28,13.3796,13.5055,0.4872419430951231,12.682199999999998,12.6894,13.0065,13.629499999999998,13.9087,14.01085,12.674999999999999,14.113
29,13.488,13.683499999999999,0.4559317687744272,12.7544,12.867799999999999,13.21175,13.793,13.9116,13.959299999999999,12.641,14.007
30,13.5671,13.7345,0.48766825016831133,12.7663,12.979599999999998,13.318999999999999,13.86875,14.0293,14.062149999999999,12.552999999999999,14.095
31,13.5269,13.515,0.5552822005271034,12.67525,13.0105,13.33425,13.957749999999999,14.155000000000001,14.164,12.34,14.173
32,13.541599999999999,13.633,0.6376605157396321,12.61905,12.929099999999998,13.200999999999999,13.935500000000001,14.139299999999999,14.334150000000001,12.309,14.529
33,13.5353,13.547,0.6818298989565585,12.58105,12.810099999999998,13.222999999999999,13.893749999999999,14.0583,14.446649999999998,12.352,14.834999999999999
34,13.4929,13.504999999999999,0.7210748843836461,12.5365,12.784,13.16825,13.80125,13.9729,14.485449999999997,12.289,14.998
