Image ID,Image name,Annotation status,Points,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,Unc,MAA,MAEC,MAEF,MAEN,MAF,MAG,MALA,MALCB,MAS
3360189,AMP80013.jpg,Unconfirmed,100,0.000,0.000,0.000,40.000,0.000,0.000,0.000,0.000,59.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
3360190,AMP80014.jpg,Unconfirmed,100,0.000,0.000,0.000,51.000,1.000,0.000,0.000,0.000,47.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
3360188,AMP80015.jpg,Unconfirmed,100,0.000,0.000,0.000,13.000,0.000,0.000,0.000,0.000,74.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,8.000
3360187,AMP80016.jpg,Unconfirmed,100,0.000,0.000,0.000,19.000,4.000,0.000,0.000,0.000,52.000,0.000,0.000,0.000,0.000,19.000,0.000,0.000,0.000,0.000,6.000
3360186,AMP80017.jpg,Unconfirmed,100,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,72.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,17.000
3360185,AMP80018.jpg,Unconfirmed,100,0.000,0.000,0.000,25.000,2.000,0.000,0.000,0.000,44.000,0.000,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,11.000
3360184,AMP80019.jpg,Unconfirmed,100,0.000,0.000,0.000,21.000,1.000,0.000,0.000,0.000,71.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,4.000
3360183,AMP80020.jpg,Unconfirmed,100,0.000,0.000,0.000,16.000,0.000,0.000,0.000,0.000,63.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,17.000
3360182,AMP80021.jpg,Unconfirmed,100,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,83.000,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,3.000
3360181,AMP80022.jpg,Unconfirmed,100,0.000,0.000,0.000,7.000,1.000,0.000,0.000,0.000,66.000,0.000,0.000,0.000,0.000,14.000,0.000,0.000,0.000,0.000,12.000
3360180,AMP80023.jpg,Unconfirmed,100,0.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,51.000,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,36.000
3360179,AMP80024.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,66.000,0.000,0.000,0.000,0.000,28.000,0.000,0.000,0.000,0.000,5.000
3360178,AMP80025.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,70.000,0.000,0.000,0.000,0.000,27.000,0.000,0.000,0.000,0.000,2.000
3360177,AMP80026.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,86.000,0.000,0.000,0.000,0.000,11.000,0.000,0.000,0.000,0.000,1.000
3360176,AMP80027.jpg,Unconfirmed,100,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,57.000,0.000,0.000,0.000,0.000,38.000,1.000,0.000,0.000,0.000,2.000
3360175,AMP80028.jpg,Unconfirmed,100,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,68.000,0.000,0.000,0.000,0.000,22.000,0.000,0.000,0.000,0.000,6.000
3360174,AMP80029.jpg,Unconfirmed,100,0.000,0.000,0.000,14.000,1.000,0.000,0.000,0.000,66.000,0.000,0.000,0.000,0.000,13.000,0.000,0.000,0.000,0.000,6.000
3360173,AMP80030.jpg,Unconfirmed,100,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,70.000,0.000,0.000,0.000,0.000,13.000,0.000,0.000,0.000,0.000,11.000
3360172,AMP80031.jpg,Unconfirmed,100,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,93.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,2.000
3360171,AMP80032.jpg,Unconfirmed,100,0.000,0.000,0.000,8.000,2.000,0.000,0.000,0.000,54.000,0.000,0.000,0.000,0.000,21.000,0.000,0.000,0.000,0.000,15.000
3360170,AMP80033.jpg,Unconfirmed,100,0.000,0.000,0.000,8.000,1.000,0.000,0.000,0.000,80.000,0.000,0.000,0.000,0.000,3.000,1.000,0.000,0.000,0.000,7.000
3360169,AMP80034.jpg,Unconfirmed,100,0.000,0.000,0.000,6.000,2.000,0.000,0.000,0.000,66.000,0.000,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,8.000
3360168,AMP80035.jpg,Unconfirmed,100,0.000,0.000,0.000,9.000,2.000,0.000,0.000,0.000,85.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,2.000
3360167,AMP80036.jpg,Unconfirmed,100,0.000,0.000,0.000,7.000,2.000,0.000,0.000,0.000,68.000,0.000,0.000,0.000,0.000,16.000,0.000,0.000,0.000,0.000,7.000
3360166,AMP80037.jpg,Unconfirmed,100,0.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,83.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,4.000
3360165,AMP80038.jpg,Unconfirmed,100,0.000,0.000,0.000,6.000,1.000,0.000,0.000,0.000,74.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,13.000
3360164,AMP80039.jpg,Unconfirmed,100,0.000,0.000,0.000,27.000,1.000,0.000,0.000,0.000,61.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,7.000
3360163,AMP80040.jpg,Unconfirmed,100,0.000,0.000,0.000,9.000,2.000,0.000,0.000,0.000,54.000,0.000,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,20.000
3360162,AMP80041.jpg,Unconfirmed,100,0.000,0.000,0.000,22.000,8.000,0.000,0.000,0.000,38.000,0.000,0.000,0.000,0.000,21.000,0.000,0.000,0.000,0.000,11.000
3360161,AMP80042.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,2.000,0.000,0.000,0.000,54.000,0.000,0.000,0.000,0.000,14.000,0.000,0.000,0.000,0.000,29.000
3360160,AMP80043.jpg,Unconfirmed,100,0.000,0.000,0.000,17.000,1.000,0.000,0.000,0.000,47.000,0.000,0.000,0.000,0.000,14.000,0.000,0.000,0.000,0.000,21.000
3360159,AMP80044.jpg,Unconfirmed,100,0.000,0.000,0.000,22.000,7.000,0.000,0.000,0.000,47.000,0.000,0.000,0.000,0.000,14.000,0.000,0.000,0.000,0.000,10.000
3360158,AMP80045.jpg,Unconfirmed,100,0.000,0.000,0.000,35.000,1.000,0.000,0.000,0.000,59.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,4.000
3360157,AMP80046.jpg,Unconfirmed,100,0.000,0.000,0.000,48.000,1.000,0.000,0.000,0.000,45.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000
3360156,AMP80047.jpg,Unconfirmed,100,0.000,0.000,0.000,59.000,3.000,0.000,0.000,0.000,27.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,10.000
3360155,AMP80048.jpg,Unconfirmed,100,0.000,0.000,0.000,55.000,5.000,0.000,0.000,0.000,22.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.000
3360154,AMP80049.jpg,Unconfirmed,100,0.000,0.000,0.000,41.000,0.000,0.000,0.000,0.000,57.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000
3360153,AMP80051.jpg,Unconfirmed,100,0.000,0.000,0.000,43.000,6.000,0.000,0.000,0.000,42.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,8.000
3360152,AMP80052.jpg,Unconfirmed,100,0.000,0.000,0.000,19.000,0.000,0.000,0.000,0.000,81.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3360151,AMP80053.jpg,Unconfirmed,100,0.000,0.000,0.000,45.000,6.000,0.000,0.000,0.000,49.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3360150,AMP80054.jpg,Unconfirmed,100,0.000,0.000,0.000,51.000,1.000,0.000,0.000,0.000,46.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000
3360149,AMP80055.jpg,Unconfirmed,100,0.000,0.000,0.000,10.000,2.000,0.000,0.000,0.000,81.000,0.000,0.000,0.000,0.000,3.000,1.000,0.000,0.000,0.000,3.000
3360148,AMP80056.jpg,Unconfirmed,100,0.000,0.000,0.000,32.000,0.000,0.000,0.000,0.000,60.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,7.000
3360147,AMP80057.jpg,Unconfirmed,100,0.000,0.000,0.000,19.000,0.000,0.000,0.000,0.000,74.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,3.000
3360146,AMP80058.jpg,Unconfirmed,100,0.000,0.000,0.000,37.000,1.000,0.000,0.000,0.000,58.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000
3360145,AMP80059.jpg,Unconfirmed,100,0.000,0.000,0.000,32.000,0.000,0.000,0.000,0.000,68.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3360144,AMP80060.jpg,Unconfirmed,100,0.000,0.000,0.000,21.000,0.000,0.000,0.000,0.000,73.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000
3360143,AMP80061.jpg,Unconfirmed,100,0.000,0.000,0.000,28.000,0.000,0.000,0.000,0.000,64.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,2.000
3360142,AMP80062.jpg,Unconfirmed,100,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,81.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,3.000
