Image ID,Image name,Annotation status,Points,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,Unc,MAA,MAEC,MAEF,MAEN,MAF,MAG,MALA,MALCB,MAS
3311431,AMP70007.jpg,Confirmed,100,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,69.000,0.000,0.000,0.000,0.000,1.000
3311430,AMP70008.jpg,Confirmed,100,0.000,0.000,0.000,11.000,0.000,0.000,0.000,0.000,76.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000
3311429,AMP70009.jpg,Confirmed,100,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,93.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000
3311428,AMP70010.jpg,Confirmed,100,0.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,72.000,0.000,0.000,0.000,0.000,19.000
3311427,AMP70011.jpg,Confirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,82.000,0.000,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,0.000
3311426,AMP70012.jpg,Confirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,74.000,0.000,0.000,0.000,0.000,14.000,0.000,0.000,0.000,0.000,12.000
3311425,AMP70013.jpg,Confirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,90.000,0.000,0.000,0.000,0.000,0.000
3311424,AMP70014.jpg,Confirmed,100,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,12.000,0.000,0.000,0.000,0.000,73.000,0.000,0.000,0.000,0.000,12.000
3311423,AMP70015.jpg,Confirmed,100,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,80.000,0.000,0.000,0.000,0.000,14.000,0.000,0.000,0.000,0.000,0.000
3311422,AMP70016.jpg,Confirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3311421,AMP70017.jpg,Confirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3311420,AMP70018.jpg,Confirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,85.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.000
3311419,AMP70019.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,78.000,0.000,0.000,0.000,0.000,22.000,0.000,0.000,0.000,0.000,0.000
3311418,AMP70020.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,87.000,0.000,0.000,0.000,0.000,13.000,0.000,0.000,0.000,0.000,0.000
3311417,AMP70021.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,76.000,0.000,0.000,0.000,0.000,24.000,0.000,0.000,0.000,0.000,0.000
3311416,AMP70022.jpg,Unconfirmed,100,0.000,0.000,0.000,2.000,2.000,0.000,0.000,0.000,53.000,0.000,0.000,0.000,0.000,35.000,1.000,0.000,0.000,0.000,7.000
3311415,AMP70023.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.000,0.000,0.000,0.000,0.000,88.000,0.000,0.000,0.000,0.000,0.000
3311414,AMP70024.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,61.000,0.000,0.000,0.000,0.000,39.000,0.000,0.000,0.000,0.000,0.000
3311413,AMP70025.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31.000,0.000,0.000,0.000,0.000,69.000,0.000,0.000,0.000,0.000,0.000
3311412,AMP70026.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,86.000,0.000,0.000,0.000,0.000,14.000,0.000,0.000,0.000,0.000,0.000
3311411,AMP70027.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.000,0.000,0.000,0.000,0.000,36.000,0.000,0.000,0.000,0.000,0.000
3311410,AMP70028.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,94.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000
3311409,AMP70029.jpg,Unconfirmed,100,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,88.000,0.000,0.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,0.000
3311408,AMP70030.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,71.000,0.000,1.000,0.000,0.000,26.000,0.000,0.000,0.000,0.000,1.000
3311407,AMP70031.jpg,Unconfirmed,100,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,89.000,0.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,0.000
3311406,AMP70032.jpg,Unconfirmed,100,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,32.000,0.000,0.000,0.000,0.000,62.000,0.000,0.000,0.000,0.000,0.000
3311405,AMP70033.jpg,Unconfirmed,100,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,91.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000
3311404,AMP70034.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,56.000,0.000,0.000,0.000,0.000,43.000,0.000,0.000,0.000,0.000,0.000
3311403,AMP70035.jpg,Unconfirmed,100,0.000,0.000,0.000,20.000,0.000,0.000,0.000,0.000,33.000,0.000,0.000,0.000,0.000,47.000,0.000,0.000,0.000,0.000,0.000
3311402,AMP70036.jpg,Unconfirmed,100,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,52.000,0.000,0.000,0.000,0.000,45.000,0.000,0.000,0.000,0.000,0.000
3311401,AMP70037.jpg,Unconfirmed,100,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,63.000,0.000,0.000,0.000,0.000,3.000,29.000,0.000,0.000,0.000,2.000
3311400,AMP70038.jpg,Unconfirmed,100,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,33.000,0.000,0.000,0.000,0.000,16.000,49.000,0.000,0.000,0.000,0.000
3311399,AMP70039.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.000,0.000,0.000,0.000,0.000,25.000,8.000,0.000,0.000,0.000,2.000
3311398,AMP70040.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,81.000,0.000,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,0.000
3311397,AMP70041.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,43.000,6.000,0.000,0.000,0.000,0.000
3311396,AMP70042.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,35.000,56.000,0.000,0.000,0.000,1.000
3311395,AMP70043.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,59.000,0.000,0.000,0.000,0.000,41.000,0.000,0.000,0.000,0.000,0.000
3311394,AMP70044.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,0.000,51.000,40.000,0.000,0.000,0.000,1.000
3311393,AMP70045.jpg,Unconfirmed,100,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,72.000,0.000,13.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,4.000
3311392,AMP70046.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,97.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000
3311391,AMP70048.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,0.000,0.000,0.000,0.000,1.000,56.000,0.000,0.000,0.000,32.000
3311390,AMP70049.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,51.000,0.000,0.000,0.000,47.000
3311389,AMP70050.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,9.000,64.000,0.000,0.000,0.000,24.000
3311388,AMP70051.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,0.000,0.000,0.000,0.000,1.000,51.000,0.000,0.000,0.000,35.000
3311387,AMP70052.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,11.000,0.000,0.000,0.000,0.000,3.000,41.000,0.000,0.000,0.000,44.000
3311386,AMP70053.jpg,Unconfirmed,100,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,62.000,0.000,0.000,0.000,31.000
3311385,AMP70054.jpg,Unconfirmed,100,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,11.000,0.000,0.000,0.000,0.000,1.000,58.000,0.000,0.000,0.000,25.000
3311384,AMP70055.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,3.000,81.000,0.000,0.000,0.000,11.000
3311383,AMP70056.jpg,Unconfirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,0.000,0.000,0.000,0.000,0.000,47.000,0.000,0.000,0.000,42.000
3311382,AMP70057.jpg,Unconfirmed,100,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,3.000,18.000,0.000,0.000,0.000,75.000
