Image ID,Image name,Annotation status,Points,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,Unc,MAA,MAEC,MAEF,MAEN,MAF,MAG,MALA,MALCB,MAS
3361093,AMP51228.jpg,Unconfirmed,100,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,80.000,0.000,0.000,0.000,0.000,2.000,2.000,0.000,0.000,0.000,1.000
3361092,AMP51229.jpg,Unconfirmed,100,0.000,0.000,0.000,13.000,0.000,0.000,0.000,0.000,71.000,0.000,0.000,0.000,0.000,6.000,7.000,0.000,0.000,0.000,3.000
3361090,AMP51230.jpg,Unconfirmed,100,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,66.000,0.000,0.000,0.000,0.000,14.000,1.000,0.000,0.000,0.000,1.000
3361091,AMP51231.jpg,Unconfirmed,100,0.000,0.000,0.000,17.000,0.000,0.000,0.000,0.000,72.000,0.000,0.000,0.000,0.000,5.000,3.000,0.000,0.000,0.000,3.000
3361088,AMP51232.jpg,Unconfirmed,100,0.000,0.000,0.000,40.000,0.000,0.000,0.000,0.000,37.000,0.000,0.000,0.000,0.000,14.000,3.000,0.000,0.000,0.000,6.000
3361089,AMP51233.jpg,Unconfirmed,100,0.000,0.000,0.000,26.000,0.000,0.000,0.000,0.000,74.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3361086,AMP51234.jpg,Unconfirmed,100,0.000,0.000,0.000,16.000,0.000,0.000,0.000,0.000,77.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,1.000
3361087,AMP51235.jpg,Unconfirmed,100,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,74.000,0.000,0.000,0.000,0.000,15.000,1.000,0.000,0.000,0.000,4.000
3361084,AMP51236.jpg,Unconfirmed,100,0.000,0.000,0.000,22.000,0.000,0.000,0.000,0.000,68.000,0.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,2.000
3361085,AMP51237.jpg,Unconfirmed,100,0.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,72.000,0.000,0.000,0.000,0.000,16.000,0.000,0.000,0.000,0.000,3.000
3361083,AMP51238.jpg,Unconfirmed,100,0.000,0.000,0.000,21.000,0.000,0.000,0.000,0.000,69.000,0.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,2.000
3361082,AMP51239.jpg,Unconfirmed,100,0.000,0.000,0.000,12.000,0.000,0.000,0.000,0.000,48.000,0.000,0.000,0.000,0.000,40.000,0.000,0.000,0.000,0.000,0.000
3361081,AMP51240.jpg,Unconfirmed,100,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,54.000,0.000,0.000,0.000,0.000,38.000,0.000,0.000,0.000,0.000,5.000
3361080,AMP51241.jpg,Unconfirmed,100,0.000,0.000,0.000,7.000,0.000,0.000,0.000,0.000,63.000,0.000,0.000,0.000,0.000,30.000,0.000,0.000,0.000,0.000,0.000
3361079,AMP51242.jpg,Unconfirmed,100,0.000,0.000,0.000,13.000,1.000,0.000,0.000,0.000,39.000,0.000,0.000,0.000,0.000,42.000,4.000,0.000,0.000,0.000,1.000
3361078,AMP51243.jpg,Unconfirmed,100,0.000,0.000,0.000,28.000,0.000,0.000,0.000,0.000,66.000,0.000,0.000,0.000,0.000,4.000,1.000,0.000,0.000,0.000,1.000
3361077,AMP51244.jpg,Unconfirmed,100,0.000,0.000,0.000,13.000,0.000,0.000,0.000,0.000,70.000,0.000,0.000,0.000,0.000,13.000,2.000,0.000,0.000,0.000,2.000
3361076,AMP51245.jpg,Unconfirmed,100,0.000,0.000,0.000,16.000,0.000,0.000,0.000,0.000,67.000,0.000,0.000,0.000,0.000,2.000,2.000,0.000,0.000,0.000,13.000
3361075,AMP51246.jpg,Unconfirmed,100,0.000,0.000,0.000,20.000,0.000,0.000,0.000,0.000,64.000,0.000,0.000,0.000,0.000,13.000,0.000,0.000,0.000,0.000,3.000
3361074,AMP51247.jpg,Unconfirmed,100,0.000,0.000,0.000,22.000,0.000,0.000,0.000,0.000,67.000,0.000,0.000,0.000,0.000,6.000,1.000,0.000,0.000,0.000,4.000
3361073,AMP51248.jpg,Unconfirmed,100,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,69.000,0.000,0.000,0.000,0.000,1.000,3.000,0.000,0.000,0.000,9.000
3361072,AMP51249.jpg,Unconfirmed,100,0.000,0.000,0.000,28.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,6.000,6.000,0.000,0.000,0.000,10.000
3361071,AMP51250.jpg,Unconfirmed,100,0.000,0.000,0.000,34.000,0.000,0.000,0.000,0.000,56.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,8.000
3361070,AMP51251.jpg,Unconfirmed,100,0.000,0.000,0.000,27.000,0.000,0.000,0.000,0.000,64.000,0.000,0.000,0.000,0.000,5.000,1.000,0.000,0.000,0.000,3.000
3361069,AMP51252.jpg,Unconfirmed,100,0.000,0.000,0.000,15.000,0.000,0.000,0.000,0.000,79.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,3.000
3361068,AMP51253.jpg,Unconfirmed,100,0.000,0.000,0.000,34.000,0.000,0.000,0.000,0.000,54.000,0.000,0.000,0.000,0.000,2.000,3.000,0.000,0.000,0.000,7.000
3361067,AMP51254.jpg,Unconfirmed,100,0.000,0.000,0.000,13.000,1.000,0.000,0.000,0.000,80.000,0.000,0.000,0.000,0.000,4.000,1.000,0.000,0.000,0.000,1.000
3361066,AMP51255.jpg,Unconfirmed,100,0.000,0.000,0.000,28.000,0.000,0.000,0.000,0.000,62.000,0.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,2.000
3361065,AMP51256.jpg,Unconfirmed,100,0.000,0.000,0.000,18.000,0.000,0.000,0.000,0.000,76.000,0.000,0.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,3.000
3361064,AMP51257.jpg,Unconfirmed,100,0.000,0.000,0.000,34.000,0.000,0.000,0.000,0.000,53.000,0.000,0.000,0.000,0.000,6.000,2.000,0.000,0.000,0.000,5.000
3361063,AMP51258.jpg,Unconfirmed,100,0.000,0.000,0.000,31.000,0.000,0.000,0.000,0.000,58.000,0.000,0.000,0.000,0.000,5.000,2.000,0.000,0.000,0.000,4.000
3361062,AMP51259.jpg,Unconfirmed,100,0.000,0.000,0.000,34.000,0.000,0.000,0.000,0.000,55.000,0.000,0.000,0.000,0.000,2.000,4.000,0.000,0.000,0.000,5.000
3361061,AMP51260.jpg,Unconfirmed,100,0.000,0.000,0.000,12.000,0.000,0.000,0.000,0.000,84.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,3.000
3361060,AMP51261.jpg,Unconfirmed,100,0.000,0.000,0.000,49.000,0.000,0.000,0.000,0.000,42.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,4.000
3361059,AMP51262.jpg,Unconfirmed,100,0.000,0.000,0.000,19.000,1.000,0.000,0.000,0.000,71.000,0.000,0.000,0.000,0.000,4.000,3.000,0.000,0.000,0.000,2.000
3361058,AMP51263.jpg,Unconfirmed,100,0.000,0.000,0.000,20.000,0.000,0.000,0.000,0.000,72.000,0.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,0.000,1.000
3361057,AMP51264.jpg,Unconfirmed,100,0.000,0.000,0.000,16.000,0.000,0.000,0.000,0.000,79.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,1.000
3361056,AMP51265.jpg,Unconfirmed,100,0.000,0.000,0.000,32.000,0.000,0.000,0.000,0.000,62.000,0.000,0.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,3.000
3361055,AMP51266.jpg,Unconfirmed,100,0.000,0.000,0.000,22.000,0.000,0.000,0.000,0.000,46.000,0.000,0.000,0.000,0.000,14.000,4.000,0.000,0.000,0.000,14.000
3361054,AMP51267.jpg,Unconfirmed,100,0.000,0.000,0.000,54.000,0.000,0.000,0.000,0.000,38.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,4.000
