yDay,SST.mean,SST.median,SST.sd,SST.q5,SST.q10,SST.q25,SST.q75,SST.q90,SST.q95,SST.min,SST.max
1,14.8837,14.815999999999999,0.6687512492200169,14.07235,14.1187,14.386,15.131250000000001,15.879699999999998,15.93685,14.026,15.994
2,14.9646,14.936499999999999,0.5954832211462107,14.25315,14.3193,14.54325,15.185749999999999,15.8484,15.9177,14.187,15.987
3,15.0969,14.9665,0.7699163663094267,14.33015,14.360299999999999,14.53425,15.195250000000001,16.388099999999998,16.43355,14.299999999999999,16.479
4,15.2328,15.049499999999998,0.8772654229035945,14.30405,14.3891,14.541250000000002,15.495,16.6763,16.69565,14.219,16.715
5,15.1481,14.9545,0.8753792130652102,14.187349999999999,14.2427,14.460749999999999,15.5285,16.378,16.567,14.132,16.756
6,15.1935,15.136,0.8725031996120891,14.21445,14.2419,14.489999999999998,15.630749999999999,16.382299999999997,16.57265,14.187,16.762999999999998
7,15.181899999999999,15.1295,0.8286203325743068,14.4356,14.4932,14.52025,15.428749999999999,15.830599999999999,16.485799999999998,14.378,17.141
8,15.1643,15.2935,0.706886766038239,14.35125,14.3625,14.524249999999999,15.47675,15.8499,16.17345,14.34,16.497
9,15.2026,15.14,0.6970888991608843,14.40485,14.4377,14.55525,15.73975,16.0547,16.138849999999998,14.372,16.223
10,15.1826,15.075,0.7184417087620188,14.290799999999999,14.292599999999998,14.628999999999998,15.849250000000001,16.018099999999997,16.06805,14.289,16.118000000000002
11,15.3256,15.415,0.6072420714454271,14.371500000000001,14.43,14.993,15.722,15.8668,16.0234,14.313,16.18
12,15.4283,15.621500000000001,0.6130004622075472,14.39235,14.3937,15.2035,15.84325,15.9224,16.0322,14.391,16.142
13,15.4446,15.668,0.6794578230716998,14.277249999999999,14.4955,15.249,15.74925,16.0014,16.151699999999998,14.059,16.302
14,15.4596,15.504,0.5511430949500422,14.63575,14.6695,15.249749999999999,15.726750000000001,15.9995,16.21775,14.602,16.436
15,15.418,15.494499999999999,0.5163362384252256,14.707799999999999,14.7636,14.97975,15.82,16.011999999999997,16.0345,14.652,16.057000000000002
16,15.4747,15.616,0.5243470119004108,14.75295,14.829899999999999,14.989749999999999,15.89825,16.0426,16.0498,14.676,16.057000000000002
17,15.5096,15.649999999999999,0.6239686957959777,14.5835,14.831,15.056249999999999,16.027,16.1025,16.13625,14.336,16.17
