yDay,SST.mean,SST.median,SST.sd,SST.q5,SST.q10,SST.q25,SST.q75,SST.q90,SST.q95,SST.min,SST.max
1,16.09,15.780999999999999,0.9694791270459503,15.263550000000002,15.3261,15.394,16.49825,16.9524,17.6607,15.201,18.369
2,16.1942,16.0385,0.9463181048440085,15.217299999999998,15.4126,15.648,16.48275,16.894000000000002,17.6725,15.022,18.451
3,16.4491,16.392,0.7260429203719451,15.61365,15.6933,15.839,16.884749999999997,17.366500000000002,17.53525,15.533999999999999,17.704
4,16.5053,16.508,0.7785378103998694,15.381,15.426,16.00775,17.10875,17.3295,17.48925,15.336,17.649
5,16.4426,16.4205,0.767992795105093,15.418249999999999,15.4565,15.8725,17.08675,17.2729,17.44345,15.379999999999999,17.614
6,16.4087,16.5445,0.6108296816625726,15.51105,15.5871,15.99175,16.66075,17.1427,17.22235,15.435,17.302
7,16.4106,16.5015,0.5271156735796552,15.6604,15.6658,15.9885,16.7905,16.9987,17.03785,15.655,17.076999999999998
8,16.4417,16.4685,0.6119685994123124,15.66205,15.801099999999998,15.972499999999998,16.95675,17.1008,17.2259,15.523,17.351
9,16.5075,16.4055,0.8845835492227714,15.4544,15.7928,15.906749999999999,17.038999999999998,17.366699999999998,17.779349999999997,15.116,18.192
10,16.4618,16.445500000000003,0.8210725776554577,15.3348,15.5256,15.93175,17.0815,17.4196,17.5303,15.144,17.641
11,16.4237,16.5325,0.7945708904811452,15.2407,15.4504,16.0205,16.9035,17.2534,17.4262,15.031,17.599
12,16.5595,16.516,0.8216261991387028,15.425899999999999,15.6518,16.06325,17.255499999999998,17.4134,17.595200000000002,15.2,17.777
13,16.6907,16.739,0.916549331884421,15.52675,15.812499999999998,16.037,17.046,17.8288,18.0484,15.241,18.268
14,16.758399999999998,16.5345,1.1018634922509936,15.502449999999998,15.682899999999998,15.907,17.60025,17.8115,18.28175,15.322,18.752
15,16.711,16.4905,1.0700616804651968,15.6436,15.674199999999999,15.76925,17.41375,18.0941,18.32855,15.613,18.563
16,16.893900000000002,16.4995,1.268623265153564,15.71575,15.7225,15.75675,17.61275,18.8405,18.878750000000004,15.709,18.917
