time,SST
2002-06-01,13.304
2002-06-02,13.477
2002-06-03,13.568
2002-06-04,13.362
2002-06-05,13.129
2002-06-06,13.088
2002-06-07,13.059
2002-06-08,12.876999999999999
2002-06-09,12.717
2002-06-10,12.668
2002-06-11,12.746
2002-06-12,12.53
2002-06-13,12.233
2002-06-14,12.483
2002-06-15,12.394
2002-06-16,12.301
2002-06-17,12.376999999999999
2002-06-18,12.315999999999999
2002-06-19,12.187
2002-06-20,12.093
2002-06-21,12.068
2002-06-22,12.056
2002-06-23,12.129
2002-06-24,11.796
2002-06-25,11.363
2002-06-26,11.283
2002-06-27,11.443999999999999
2002-06-28,11.737
2002-06-29,11.610999999999999
2002-06-30,10.576
2002-07-01,10.967
2002-07-02,11.641
2002-07-03,11.328
2002-07-04,11.415
2002-07-05,11.113999999999999
2002-07-06,11.038
2002-07-07,11.422
2002-07-08,11.078
2002-07-09,10.894
2002-07-10,10.946
2002-07-11,11.106
2002-07-12,11.091
2002-07-13,10.59
2002-07-14,10.37
2002-07-15,10.43
2002-07-16,10.314
2002-07-17,10.293
2002-07-18,11.122
2002-07-19,9.706999999999999
2002-07-20,10.645
2002-07-21,10.677
2002-07-22,10.766
2002-07-23,10.78
2002-07-24,10.625
2002-07-25,10.373
2002-07-26,10.323
2002-07-27,10.299
2002-07-28,10.193999999999999
2002-07-29,10.365
2002-07-30,10.411
2002-07-31,10.421
2002-08-01,11.477
2002-08-02,11.365
2002-08-03,11.173
2002-08-04,11.07
2002-08-05,9.693
2002-08-06,9.307
2002-08-07,9.729
2002-08-08,9.967
2002-08-09,9.849
2002-08-10,10.282
2002-08-11,10.33
2002-08-12,10.168
2002-08-13,10.276
2002-08-14,10.306
2002-08-15,10.413
2002-08-16,10.074
2002-08-17,9.685
2002-08-18,9.54
2002-08-19,10.280999999999999
2002-08-20,9.981
2002-08-21,9.921
2002-08-22,9.923
2002-08-23,9.988999999999999
2002-08-24,9.969
2002-08-25,9.908999999999999
2002-08-26,9.11
2002-08-27,9.427999999999999
2002-08-28,9.942
2002-08-29,9.846
2002-08-30,9.937999999999999
2002-08-31,10.026
2002-09-01,10.135
2002-09-02,10.157
2002-09-03,10.155
2002-09-04,10.262
2002-09-05,10.078999999999999
2002-09-06,10.296
2002-09-07,10.386
2002-09-08,10.475999999999999
2002-09-09,10.358
2002-09-10,10.15
2002-09-11,9.908999999999999
2002-09-12,9.774
2002-09-13,9.488
2002-09-14,9.023
2002-09-15,7.268000000000001
2002-09-16,7.686
2002-09-17,8.558
2002-09-18,10.251999999999999
2002-09-19,10.195
2002-09-20,10.261
2002-09-21,10.388
2002-09-22,10.383
2002-09-23,10.209999999999999
2002-09-24,10.677
2002-09-25,10.738
2002-09-26,10.738999999999999
2002-09-27,10.69
2002-09-28,10.682
2002-09-29,10.844999999999999
2002-09-30,10.995
