"","Label","nPoints","Percent","site"
"1","MOB",22195,31.8,"CABO DOS BAHIAS, MAR DEL PLATA, ISLOTE LOBOS, PUNTA BS AS, PIMCPA, PUERTO BUQUE, MAKENKE, BAHIA BUSTAMANTE, PUERTO MADRYN"
"2","SC",14449,20.7,"CABO DOS BAHIAS, MAR DEL PLATA, ISLOTE LOBOS, PUNTA TOMBO, PUNTA BS AS, PIMCPA, PUERTO BUQUE, MAKENKE, BAHIA BUSTAMANTE, PUERTO MADRYN"
"3","MAA",11803,16.9,"CABO DOS BAHIAS, MAR DEL PLATA, ISLOTE LOBOS, PUNTA BS AS, MAKENKE, BAHIA BUSTAMANTE, PUERTO MADRYN"
"4","MAF",8438,12.1,"CABO DOS BAHIAS, MAR DEL PLATA, ISLOTE LOBOS, PUNTA TOMBO, PUNTA BS AS, PIMCPA, PUERTO BUQUE, MAKENKE, BAHIA BUSTAMANTE, PUERTO MADRYN"
"5","MAEN",5353,7.7,"CABO DOS BAHIAS, MAR DEL PLATA, ISLOTE LOBOS, PUNTA TOMBO, PUNTA BS AS, PUERTO BUQUE, MAKENKE, BAHIA BUSTAMANTE, PUERTO MADRYN"
"6","CRB",3796,5.4,"CABO DOS BAHIAS, MAR DEL PLATA, ISLOTE LOBOS, PUNTA TOMBO, PUNTA BS AS, PIMCPA, MAKENKE, BAHIA BUSTAMANTE, PUERTO MADRYN"
"7","MAS",3169,4.5,"CABO DOS BAHIAS, MAR DEL PLATA, ISLOTE LOBOS, PUNTA TOMBO, PUNTA BS AS, PUERTO BUQUE, MAKENKE, BAHIA BUSTAMANTE, PUERTO MADRYN"
"8","MOG",194,0.3,"MAR DEL PLATA, ISLOTE LOBOS, PUNTA BS AS, MAKENKE"
"9","Unc",110,0.2,"CABO DOS BAHIAS, MAR DEL PLATA, PUNTA BS AS, BAHIA BUSTAMANTE, PUERTO MADRYN"
"10","WPOT",55,0.1,"ISLOTE LOBOS, MAKENKE, PUERTO MADRYN"
"11","MAG",36,0.1,"BAHIA BUSTAMANTE, PUERTO MADRYN"
"12","MALCB",35,0.1,"MAR DEL PLATA"
"13","CNTR",30,0,"MAR DEL PLATA, MAKENKE, BAHIA BUSTAMANTE, PUERTO MADRYN"
"14","MALA",21,0,"CABO DOS BAHIAS, MAR DEL PLATA"
"15","MAEF",8,0,"CABO DOS BAHIAS, PUERTO MADRYN"
"16","MAEC",7,0,"ISLOTE LOBOS, PUNTA BS AS"
"17","SP",1,0,"BAHIA BUSTAMANTE"
